year_month,thai_production,domestic_consumption,import_volume,export_volume,stock,exchange_rate_usd,china_pmi,thai_price,oil_price_thb,world_price_thb_kg
2007-01,328940000,30652000,55000,267567000.0,280671000.0,36.18,54.8,65.12,2103.5052,75.16825965472428
2007-02,267868000,26790000,44000,237979000.0,249005000.0,35.75,55.1,72.91,2208.9925,81.465324923125
2007-03,246813000,31717000,119000,230410000.0,217339000.0,35.06,53.1,69.62,2309.4022000000004,78.6260616030648
2007-04,165458000,27788000,184000,180185000.0,178575000.0,34.87,56.1,72.84,2291.3077,80.90712148843059
2007-05,172153000,32905000,91000,178103000.0,209215000.0,34.62,58.6,71.47,2216.0262,82.00404866619239
2007-06,255156000,32379000,239000,192376000.0,166030000.0,34.5,55.7,70.1,2438.46,76.29015418926
2007-07,209979000,31285000,130000,222009000.0,216187000.0,33.71,54.5,61.38,2636.4591,69.98272695994184
2007-08,336895000,32859000,225000,254104000.0,215958000.0,34.19,53.3,64.39,2531.4276,72.25745844832372
2007-09,259830000,32358000,135000,227836000.0,226305000.0,34.21,54.0,65.87,2793.5886,73.9962327822993
2007-10,297315000,34094000,208000,253082000.0,235707000.0,34.17,56.1,71.15,3230.0901000000003,79.675500758964
2007-11,253078000,31261000,228000,212643000.0,230390000.0,33.9,53.2,75.92,3007.269,84.164791833936
2007-12,262520000,29622000,253000,238468000.0,230390000.0,33.71,55.4,73.57,3235.4858000000004,83.52645138818198
2008-01,325388000,32715000,228000,262799000.0,260492000.0,33.19,55.3,77.75,3045.1825,87.07850177628137
2008-02,273052000,35305000,249000,241670000.0,256818000.0,32.62,53.0,81.25,3322.0208,91.0097843711056
2008-03,251408000,36471000,423000,225728000.0,246450000.0,31.45,53.4,79.25,3194.691,87.808372047869
2008-04,261090000,30104000,637000,208491500.0,236850000.0,31.59,58.4,81.1,3584.2014,89.5576570862688
2008-05,199669000,34614000,315000,191255000.0,210783000.0,32.09,59.2,89.65,4086.6615,97.82636610261241
2008-06,212030000,34874000,526000,205949000.0,182498000.0,33.2,53.3,97.94,4648.0,106.986988972952
2008-07,285935000,34008000,484000,248629000.0,186280000.0,33.5,52.0,98.85,4156.68,107.03978609455999
2008-08,283475000,33508000,356000,253758000.0,182845000.0,33.85,48.4,89.97,3908.321,99.063618313407
2008-09,301141000,33813000,414000,256884000.0,193703000.0,34.28,48.4,89.49,3449.9392000000003,97.27185183493359
2008-10,329549000,35003000,449000,249667000.0,239031000.0,34.43,51.2,57.5,2334.6983,66.09621159709502
2008-11,182589000,30183000,338000,161349000.0,230426000.0,35.1,44.6,50.11,1910.4930000000002,57.96063221691599
2008-12,218583000,26797000,39000,170530000.0,251721000.0,35.03,38.8,33.91,1562.3380000000002,42.75030411768687
2009-01,286150000,30892000,205000,214323000.0,292861000.0,34.92,41.2,44.03,1455.4656,51.847887854466
2009-02,247296000,28160000,178000,210237000.0,301937000.0,35.28,45.3,44.5,1579.1328,51.6199346879832
2009-03,148454000,20865000,168000,202016000.0,221679000.0,35.79,49.0,44.01,1777.3313999999998,51.20898415034819
2009-04,202821000,26922000,234000,189940000.0,207862000.0,35.47,52.4,48.85,1813.2263999999998,57.68711711687979
2009-05,191618000,34923000,218000,183636000.0,181139000.0,34.71,53.5,52.14,2301.6201,58.772707966641235
2009-06,272708000,35550000,325000,217705000.0,200917000.0,34.15,53.1,49.97,2386.7435,57.18883329167358
2009-07,304657000,36720000,258000,249218000.0,219894000.0,34.05,53.2,51.54,2364.7725,59.560851741738595
2009-08,265490000,37952000,220000,227511000.0,220141000.0,34.02,53.3,61.32,2380.0392,69.90461773190282
2009-09,273706000,37217000,279000,236051000.0,220858000.0,33.83,54.0,64.83,2388.7363,73.503364751628
2009-10,288415000,34302000,468000,240330000.0,235109000.0,33.41,54.3,69.05,2572.5699999999997,78.58639495566858
2009-11,334869000,36447000,317000,273697000.0,260151000.0,33.29,55.2,74.55,2572.6512,84.92436704517259
2009-12,348195000,33455000,297000,281529000.0,293659000.0,33.23,55.2,81.34,2637.1328,93.21014187061277
2010-01,352328000,37955000,258000,288270000.0,320020000.0,33.03,56.6,90.69,2407.5567,101.79377435032738
2010-02,344751000,37129000,182000,259478000.0,368346000.0,33.15,55.8,93.55,2640.729,103.67992658552099
2010-03,172674000,38975000,561000,255498000.0,247108000.0,32.51,52.0,98.83,2723.0376,108.53815208719779
2010-04,182707000,35231000,244000,177718000.0,217110000.0,32.3,55.1,109.41,2782.645,127.52625293894198
2010-05,190610000,37160000,1247000,194681000.0,177126000.0,32.37,55.7,104.09,2394.4089,119.11389939323156
2010-06,255436000,33601000,1589000,208835000.0,191715000.0,32.47,53.9,107.26,2455.7061,115.7806242944626
2010-07,254368000,38502000,968000,230958000.0,177591000.0,32.34,52.1,97.76,2553.2430000000004,105.8870644599768
2010-08,325365000,41807000,284000,251260000.0,210173000.0,31.75,51.2,96.9,2283.46,105.285863726175
2010-09,382396000,42705000,337000,297806000.0,252395000.0,30.84,51.7,100.21,2466.2748,108.95073404363279
2010-10,186799000,38184000,323000,198918000.0,202415000.0,29.97,53.8,104.34,2440.4571,117.62510297258159
2010-11,274547000,39514000,259000,257025000.0,180682000.0,29.9,54.7,115.9,2514.8889999999997,128.753482440154
2010-12,330154000,37874000,290000,246000000.0,227252000.0,30.12,55.2,128.7,2752.3656,142.9495234409088
2011-01,384852000,36936000,212000,247304000.0,328076000.0,30.57,53.9,151.99,2818.2482999999997,168.7318520592078
2011-02,346926000,37764000,231000,250664000.0,386805000.0,30.7,52.9,172.79,2976.979,190.04219732458398
2011-03,247129000,41280000,343000,272776000.0,320221000.0,30.67,52.2,139.52,3273.1024,166.1874113151142
2011-04,141556000,36363000,210000,183922000.0,241702000.0,30.06,53.4,155.19,3424.7358,175.94420865021
2011-05,218446000,41698000,1488000,203606000.0,216332000.0,30.22,52.9,139.62,3103.594,154.61609152413598
2011-06,280654000,43302000,365000,217758000.0,236291000.0,30.52,52.0,135.29,2912.2184,150.58565206626477
2011-07,304731000,43319000,147000,236515000.0,261335000.0,30.11,50.9,127.05,2881.527,142.48054340269638
2011-08,372616000,45344000,332000,269701000.0,319238000.0,29.88,50.7,124.94,2653.6428,139.72741434352798
2011-09,329816000,46604000,179000,270755000.0,331874000.0,30.32,50.9,123.33,2401.344,138.0014714909952
2011-10,277602000,40791000,308000,256938000.0,312055000.0,30.9,51.2,108.01,2879.571,125.48641196975397
2011-11,304298000,34546000,221000,262183000.0,319845000.0,30.96,50.4,87.01,3107.1456000000003,104.39266358664
2011-12,360407000,38798000,362000,280259000.0,361557000.0,30.21,49.0,86.79,2985.6543,102.2449989302148
2012-01,373403000,42721000,291000,302093000.0,390437000.0,31.51,50.3,97.21,3103.1048,114.2569348901024
2012-02,338226000,43821000,180000,294570000.0,390452000.0,30.74,50.5,108.3,3291.3317999999995,123.0375534517008
2012-03,268662000,42722000,284000,288333000.0,328343000.0,30.69,51.0,106.27,3161.6838,120.58239423991861
2012-04,236817000,37988000,245000,238693000.0,288724000.0,30.88,53.1,105.06,3238.3856,118.73205211035518
2012-05,302712000,43942000,438000,237517000.0,310415000.0,31.33,53.3,101.6,2710.9849,116.80249708029758
